string,difficulty,SE,HoDoKu,print_date,day_of_week
3.80E+77,hard,2.3,650,2023-01-28,Saturday
4.01E+80,easy,1.2,316,2021-12-02,Thursday
6.30E+80,medium,2.3,520,2021-12-02,Thursday
7.09E+74,hard,3.4,574,2021-12-02,Thursday
5.23E+79,easy,1.2,322,2023-09-28,Thursday
2.01E+80,medium,2.3,592,2023-09-28,Thursday
1.01E+80,hard,2.3,666,2023-09-28,Thursday
4.60E+80,easy,1.2,304,2022-10-09,Sunday
2.01E+72,medium,2.8,784,2022-10-09,Sunday
3.00E+80,hard,2.3,510,2022-10-09,Sunday
8.05E+79,easy,1.2,310,2021-07-11,Sunday
2.90E+77,medium,3,666,2021-07-11,Sunday
3.40E+76,hard,2.3,540,2021-07-11,Sunday
8.05E+80,easy,1.2,310,2021-09-28,Tuesday
1.06E+72,medium,2.3,576,2021-09-28,Tuesday
8.07E+74,hard,2.3,600,2021-09-28,Tuesday
3.91E+79,easy,1.2,310,2023-11-01,Wednesday
7.00E+79,medium,2.3,726,2023-11-01,Wednesday
9.01E+80,hard,2.3,626,2023-11-01,Wednesday
5.93E+77,easy,1.2,310,2023-10-16,Monday
2.60E+78,medium,2.3,530,2023-10-16,Monday
8.00E+80,hard,2.8,804,2023-10-16,Monday
9.10E+80,easy,1.2,304,2023-05-26,Friday
1.80E+80,medium,2.3,592,2023-05-26,Friday
1.80E+75,hard,2.3,560,2023-05-26,Friday
9.67E+80,easy,1.2,310,2020-12-25,Friday
1.01E+80,medium,2.3,514,2020-12-25,Friday
6.73E+78,hard,3.4,860,2020-12-25,Friday
1.00E+80,easy,1.2,310,2022-03-08,Tuesday
3.01E+80,medium,2.3,524,2022-03-08,Tuesday
1.00E+80,hard,2.3,506,2022-03-08,Tuesday
9.50E+80,easy,1.2,316,2022-12-22,Thursday
7.00E+80,medium,2.3,526,2022-12-22,Thursday
3.01E+80,hard,3.4,724,2022-12-22,Thursday
5.00E+80,easy,1.2,304,2023-07-19,Wednesday
5.01E+79,medium,2.3,520,2023-07-19,Wednesday
3.10E+78,hard,3.4,862,2023-07-19,Wednesday
4.10E+80,easy,1.2,310,2022-04-20,Wednesday
3.04E+79,medium,2.3,610,2022-04-20,Wednesday
9.07E+80,hard,2.3,594,2022-04-20,Wednesday
4.60E+78,easy,1.2,316,2021-05-31,Monday
1.01E+79,medium,2.3,520,2021-05-31,Monday
1.00E+80,hard,3,760,2021-05-31,Monday
9.07E+79,easy,1.2,310,2023-04-22,Saturday
8.00E+80,medium,2.3,524,2023-04-22,Saturday
7.01E+70,hard,2.3,590,2023-04-22,Saturday
3.72E+79,easy,1.2,310,2021-02-16,Tuesday
8.00E+77,medium,2,510,2021-02-16,Tuesday
1.00E+79,hard,2.3,504,2021-02-16,Tuesday
1.93E+77,easy,1.2,310,2021-06-10,Thursday
7.02E+78,medium,2.3,514,2021-06-10,Thursday
6.80E+77,hard,2.3,612,2021-06-10,Thursday
4.01E+80,easy,1.2,304,2021-01-23,Saturday
8.06E+79,medium,3.4,810,2021-01-23,Saturday
4.06E+80,hard,2.3,692,2021-01-23,Saturday
4.10E+78,easy,1.2,310,2021-02-08,Monday
9.00E+77,medium,3.4,642,2021-02-08,Monday
6.00E+79,hard,2.3,810,2021-02-08,Monday
1.00E+80,easy,1.2,310,2021-11-06,Saturday
6.00E+79,medium,2,656,2021-11-06,Saturday
3.00E+80,hard,2.3,710,2021-11-06,Saturday
1.07E+80,easy,1.2,304,2022-03-11,Friday
6.51E+80,medium,2.3,560,2022-03-11,Friday
4.00E+78,hard,3.4,784,2022-03-11,Friday
8.20E+78,easy,1.2,316,2022-11-02,Wednesday
7.09E+79,medium,3.4,664,2022-11-02,Wednesday
9.00E+80,hard,2.3,580,2022-11-02,Wednesday
5.60E+80,easy,1.2,310,2023-03-03,Friday
5.00E+77,medium,2,524,2023-03-03,Friday
2.00E+78,hard,3.6,1000,2023-03-03,Friday
9.05E+80,easy,1.2,304,2021-03-25,Thursday
5.00E+78,medium,2,710,2021-03-25,Thursday
4.00E+74,hard,2.3,744,2021-03-25,Thursday
9.17E+79,easy,1.2,304,2021-01-07,Thursday
2.06E+79,medium,2,530,2021-01-07,Thursday
3.07E+80,hard,3,494,2021-01-07,Thursday
6.30E+78,easy,1.2,316,2023-01-10,Tuesday
7.00E+78,medium,2.3,702,2023-01-10,Tuesday
7.40E+79,hard,2.3,584,2023-01-10,Tuesday
7.03E+80,easy,1.2,310,2021-01-28,Thursday
3.41E+78,medium,2,526,2021-01-28,Thursday
1.00E+79,hard,2.3,530,2021-01-28,Thursday
6.03E+78,easy,1.2,322,2021-08-19,Thursday
9.04E+75,medium,2,696,2021-08-19,Thursday
2.01E+80,hard,2.3,584,2021-08-19,Thursday
5.60E+80,easy,1.2,310,2021-03-30,Tuesday
8.00E+80,medium,2.3,580,2021-03-30,Tuesday
5.00E+78,hard,2.8,674,2021-03-30,Tuesday
4.79E+80,easy,1.2,304,2023-04-25,Tuesday
3.00E+75,medium,2.3,520,2023-04-25,Tuesday
9.01E+71,hard,3.4,1204,2023-04-25,Tuesday
3.01E+80,easy,1.2,304,2023-08-04,Friday
1.90E+78,medium,2.3,592,2023-08-04,Friday
2.37E+76,hard,3.4,726,2023-08-04,Friday
7.05E+80,easy,1.2,304,2023-08-16,Wednesday
7.90E+80,medium,2.3,580,2023-08-16,Wednesday
8.00E+80,hard,3,804,2023-08-16,Wednesday
7.00E+80,easy,1.2,304,2021-01-04,Monday
6.01E+79,medium,3.4,780,2021-01-04,Monday
1.80E+79,hard,2,704,2021-01-04,Monday
6.81E+80,easy,1.2,304,2021-01-02,Saturday
3.00E+79,medium,3.4,930,2021-01-02,Saturday
2.90E+80,hard,2.3,720,2021-01-02,Saturday
4.70E+80,easy,1.2,304,2021-05-15,Saturday
7.00E+80,medium,2.3,526,2021-05-15,Saturday
2.07E+78,hard,2,514,2021-05-15,Saturday
1.00E+78,easy,1.2,310,2022-02-20,Sunday
6.00E+75,medium,2,520,2022-02-20,Sunday
9.00E+80,hard,2.8,910,2022-02-20,Sunday
9.07E+79,easy,1.2,310,2023-04-22,Saturday
8.00E+80,medium,2.3,524,2023-04-22,Saturday
7.01E+70,hard,2.3,590,2023-04-22,Saturday
2.36E+77,easy,1.2,316,2021-05-18,Tuesday
2.01E+80,medium,2.3,592,2021-05-18,Tuesday
4.00E+80,hard,3,494,2021-05-18,Tuesday
6.01E+78,easy,1.2,304,2022-02-11,Friday
9.03E+78,medium,2,536,2022-02-11,Friday
9.00E+80,hard,2.3,600,2022-02-11,Friday
2.11E+78,easy,1.2,304,2023-11-25,Saturday
9.21E+76,medium,2,526,2023-11-25,Saturday
2.90E+80,hard,2.3,720,2023-11-25,Saturday
9.31E+80,easy,1.2,304,2021-04-06,Tuesday
7.03E+80,medium,2.3,586,2021-04-06,Tuesday
5.01E+78,hard,2.3,600,2021-04-06,Tuesday
1.88E+78,easy,1.2,310,2021-03-08,Monday
4.20E+78,medium,3,564,2021-03-08,Monday
4.00E+80,hard,3.4,844,2021-03-08,Monday
7.62E+80,easy,1.2,304,2023-03-22,Wednesday
8.00E+80,medium,2,540,2023-03-22,Wednesday
5.71E+78,hard,2.3,526,2023-03-22,Wednesday
5.40E+80,easy,1.2,304,2022-09-30,Friday
5.00E+80,medium,2.3,644,2022-09-30,Friday
4.00E+80,hard,2.8,630,2022-09-30,Friday
8.27E+80,easy,1.2,310,2023-06-01,Thursday
5.74E+76,medium,2.3,580,2023-06-01,Thursday
6.00E+77,hard,3.4,944,2023-06-01,Thursday
1.08E+80,easy,1.2,316,2021-12-24,Friday
8.40E+80,medium,2,630,2021-12-24,Friday
5.09E+79,hard,3,650,2021-12-24,Friday
3.02E+77,easy,1.2,316,2021-01-22,Friday
3.00E+79,medium,2.3,650,2021-01-22,Friday
7.03E+80,hard,2.3,576,2021-01-22,Friday
8.67E+77,easy,1.2,310,2021-06-11,Friday
3.01E+77,medium,2.3,530,2021-06-11,Friday
6.40E+78,hard,3,500,2021-06-11,Friday
5.21E+80,easy,1.2,304,2020-11-26,Thursday
9.00E+78,medium,2.3,510,2020-11-26,Thursday
5.81E+79,hard,2,600,2020-11-26,Thursday
1.61E+79,easy,1.2,304,2021-07-08,Thursday
2.50E+80,medium,2.3,536,2021-07-08,Thursday
7.00E+75,hard,2,576,2021-07-08,Thursday
9.00E+80,easy,1.2,310,2023-03-01,Wednesday
7.00E+76,medium,2.3,726,2023-03-01,Wednesday
7.00E+77,hard,2.3,940,2023-03-01,Wednesday
6.24E+78,easy,1.2,304,2021-02-23,Tuesday
4.00E+77,medium,2.3,514,2021-02-23,Tuesday
8.00E+76,hard,2.3,534,2021-02-23,Tuesday
7.03E+78,easy,1.2,304,2022-12-30,Friday
6.02E+79,medium,2,510,2022-12-30,Friday
3.00E+79,hard,2.3,530,2022-12-30,Friday
7.06E+79,easy,1.2,310,2023-05-04,Thursday
6.00E+79,medium,3.4,744,2023-05-04,Thursday
7.40E+76,hard,2,514,2023-05-04,Thursday
4.01E+80,easy,1.2,304,2020-12-28,Monday
4.00E+74,medium,2.3,530,2020-12-28,Monday
1.45E+74,hard,2.3,704,2020-12-28,Monday
1.58E+80,easy,1.2,316,2020-11-11,Wednesday
8.04E+74,medium,2,602,2020-11-11,Wednesday
7.04E+80,hard,2.6,696,2020-11-11,Wednesday
2.05E+80,easy,1.2,304,2021-02-01,Monday
1.06E+78,medium,2.3,526,2021-02-01,Monday
8.74E+79,hard,2.8,748,2021-02-01,Monday
1.49E+80,easy,1.2,316,2020-12-13,Sunday
6.19E+80,medium,2.3,500,2020-12-13,Sunday
3.00E+80,hard,3.4,1284,2020-12-13,Sunday
7.02E+77,easy,1.2,310,2022-04-25,Monday
4.81E+79,medium,2.3,580,2022-04-25,Monday
6.08E+79,hard,2.3,520,2022-04-25,Monday
5.70E+78,easy,1.2,310,2022-12-05,Monday
7.00E+74,medium,3.4,702,2022-12-05,Monday
8.01E+78,hard,4,736,2022-12-05,Monday
7.01E+80,easy,1.2,304,2020-12-29,Tuesday
3.90E+79,medium,2,540,2020-12-29,Tuesday
1.30E+78,hard,3,1120,2020-12-29,Tuesday
7.10E+80,easy,1.2,304,2023-07-17,Monday
9.01E+80,medium,3.4,610,2023-07-17,Monday
9.30E+78,hard,3.4,720,2023-07-17,Monday
5.30E+78,easy,1.2,310,2023-03-18,Saturday
5.06E+78,medium,2,662,2023-03-18,Saturday
7.03E+80,hard,2.3,576,2023-03-18,Saturday
7.02E+76,easy,1.2,304,2023-01-05,Thursday
4.00E+77,medium,3.4,650,2023-01-05,Thursday
7.00E+77,hard,4,924,2023-01-05,Thursday
4.25E+79,easy,1.2,310,2022-01-01,Saturday
7.03E+80,medium,1.7,518,2022-01-01,Saturday
9.28E+73,hard,2.3,564,2022-01-01,Saturday
2.48E+80,easy,1.2,304,2023-09-13,Wednesday
1.32E+77,medium,3.4,880,2023-09-13,Wednesday
2.50E+79,hard,2.8,604,2023-09-13,Wednesday
4.07E+79,easy,1.2,310,2023-08-06,Sunday
6.00E+80,medium,2.3,546,2023-08-06,Sunday
5.00E+80,hard,2.3,536,2023-08-06,Sunday
1.40E+80,easy,1.2,316,2021-02-25,Thursday
3.00E+80,medium,2,764,2021-02-25,Thursday
5.01E+79,hard,2.3,710,2021-02-25,Thursday
3.01E+77,easy,1.2,304,2021-03-26,Friday
3.51E+75,medium,2.3,536,2021-03-26,Friday
4.00E+80,hard,2,706,2021-03-26,Friday
9.00E+80,easy,1.2,310,2022-12-28,Wednesday
6.00E+77,medium,2.3,646,2022-12-28,Wednesday
5.08E+76,hard,2.3,556,2022-12-28,Wednesday
7.54E+79,easy,1.2,316,2023-05-01,Monday
7.00E+78,medium,2.3,526,2023-05-01,Monday
2.00E+79,hard,2.3,690,2023-05-01,Monday
2.08E+80,easy,1.2,304,2023-09-12,Tuesday
1.01E+80,medium,2.3,512,2023-09-12,Tuesday
9.00E+80,hard,2.3,710,2023-09-12,Tuesday
4.28E+80,easy,1.2,304,2021-02-14,Sunday
2.70E+80,medium,2.3,506,2021-02-14,Sunday
2.09E+79,hard,2.3,624,2021-02-14,Sunday
4.01E+79,easy,1.2,310,2021-06-14,Monday
8.05E+80,medium,2,594,2021-06-14,Monday
8.00E+80,hard,3,590,2021-06-14,Monday
2.08E+79,easy,1.2,316,2021-04-15,Thursday
1.06E+79,medium,2.3,714,2021-04-15,Thursday
4.00E+80,hard,2.8,838,2021-04-15,Thursday
2.92E+80,easy,1.2,316,2021-05-13,Thursday
7.06E+77,medium,2.3,590,2021-05-13,Thursday
1.00E+80,hard,3.4,1156,2021-05-13,Thursday
6.50E+80,easy,1.2,304,2021-02-20,Saturday
6.07E+74,medium,3.4,724,2021-02-20,Saturday
1.09E+72,hard,3,690,2021-02-20,Saturday
2.07E+80,easy,1.2,310,2020-02-14,Friday
5.00E+77,medium,3.4,590,2020-02-14,Friday
4.06E+79,hard,2,604,2020-02-14,Friday
6.00E+80,easy,1.2,310,2021-01-09,Saturday
9.00E+78,medium,2.3,664,2021-01-09,Saturday
3.01E+78,hard,2.3,526,2021-01-09,Saturday
6.00E+80,easy,1.2,310,2023-11-02,Thursday
2.01E+77,medium,2.3,606,2023-11-02,Thursday
7.80E+79,hard,3.4,650,2023-11-02,Thursday
7.00E+80,easy,1.2,304,2021-01-04,Monday
6.01E+79,medium,3.4,780,2021-01-04,Monday
1.80E+79,hard,2,704,2021-01-04,Monday
3.05E+79,easy,1.2,316,2021-07-29,Thursday
6.31E+79,medium,2.3,584,2021-07-29,Thursday
6.08E+79,hard,2.3,514,2021-07-29,Thursday
3.71E+80,easy,1.2,304,2023-01-14,Saturday
2.00E+80,medium,2.3,536,2023-01-14,Saturday
6.00E+75,hard,2.3,590,2023-01-14,Saturday
6.09E+80,easy,1.2,310,2021-03-03,Wednesday
1.01E+79,medium,3.4,596,2021-03-03,Wednesday
5.09E+80,hard,2.3,540,2021-03-03,Wednesday
8.00E+80,easy,1.2,304,2022-09-03,Saturday
1.00E+79,medium,2.3,744,2022-09-03,Saturday
4.08E+77,hard,3.4,670,2022-09-03,Saturday
5.38E+79,easy,1.2,304,2021-09-08,Wednesday
1.01E+79,medium,3,604,2021-09-08,Wednesday
7.00E+78,hard,3,640,2021-09-08,Wednesday
4.00E+80,easy,1.2,310,2021-04-12,Monday
1.00E+76,medium,3,560,2021-04-12,Monday
7.00E+79,hard,2.8,706,2021-04-12,Monday
6.08E+80,easy,1.2,304,2021-11-29,Monday
6.00E+80,medium,2.3,606,2021-11-29,Monday
9.50E+79,hard,2,606,2021-11-29,Monday
4.04E+80,easy,1.2,304,2021-08-17,Tuesday
4.01E+77,medium,2.3,496,2021-08-17,Tuesday
2.90E+79,hard,3.4,900,2021-08-17,Tuesday
9.81E+80,easy,1.2,304,2022-05-06,Friday
6.00E+78,medium,2.3,606,2022-05-06,Friday
4.00E+79,hard,3,796,2022-05-06,Friday
7.91E+79,easy,1.2,304,2022-12-13,Tuesday
9.05E+79,medium,2,676,2022-12-13,Tuesday
6.00E+79,hard,2.3,810,2022-12-13,Tuesday
6.24E+78,easy,1.2,304,2021-02-23,Tuesday
4.00E+77,medium,2.3,514,2021-02-23,Tuesday
8.00E+76,hard,2.3,534,2021-02-23,Tuesday
7.00E+80,easy,1.2,310,2021-03-15,Monday
7.90E+78,medium,2.3,526,2021-03-15,Monday
3.00E+78,hard,3.4,944,2021-03-15,Monday
7.68E+80,easy,1.2,304,2023-09-25,Monday
3.71E+78,medium,2.3,556,2023-09-25,Monday
2.01E+80,hard,2.3,584,2023-09-25,Monday
9.02E+79,easy,1.2,310,2022-07-31,Sunday
2.07E+77,medium,2.3,512,2022-07-31,Sunday
7.05E+74,hard,2.3,726,2022-07-31,Sunday
2.09E+80,easy,1.2,310,2022-12-24,Saturday
8.02E+77,medium,2.3,650,2022-12-24,Saturday
9.85E+77,hard,4,996,2022-12-24,Saturday
1.05E+80,easy,1.2,310,2023-10-30,Monday
7.06E+77,medium,2.3,590,2023-10-30,Monday
2.30E+79,hard,2.3,564,2023-10-30,Monday
7.65E+79,easy,1.2,316,2021-06-02,Wednesday
4.00E+74,medium,2.3,610,2021-06-02,Wednesday
2.30E+80,hard,3.4,644,2021-06-02,Wednesday
6.04E+80,easy,1.2,316,2021-01-06,Wednesday
3.71E+78,medium,2.3,556,2021-01-06,Wednesday
6.21E+80,hard,2.3,600,2021-01-06,Wednesday
4.50E+79,easy,1.2,316,2023-01-12,Thursday
3.60E+80,medium,3,626,2023-01-12,Thursday
1.09E+78,hard,3.4,864,2023-01-12,Thursday
9.05E+80,easy,1.2,310,2022-09-24,Saturday
5.01E+78,medium,2.3,734,2022-09-24,Saturday
9.80E+76,hard,3,564,2022-09-24,Saturday
5.70E+80,easy,1.2,304,2022-07-21,Thursday
9.00E+79,medium,2.3,570,2022-07-21,Thursday
9.01E+77,hard,2,620,2022-07-21,Thursday
1.70E+80,easy,1.2,304,2021-08-27,Friday
4.01E+76,medium,2.3,514,2021-08-27,Friday
1.00E+78,hard,2,660,2021-08-27,Friday
1.00E+80,easy,1.2,310,2022-11-14,Monday
9.01E+80,medium,2,526,2022-11-14,Monday
8.00E+78,hard,2.3,514,2022-11-14,Monday
1.58E+80,easy,1.2,316,2020-11-11,Wednesday
8.04E+74,medium,2,602,2020-11-11,Wednesday
7.04E+80,hard,2.6,696,2020-11-11,Wednesday
5.93E+78,easy,1.2,316,2023-09-24,Sunday
9.00E+67,medium,2.3,574,2023-09-24,Sunday
9.08E+80,hard,3.4,726,2023-09-24,Sunday
9.40E+80,easy,1.2,310,2021-05-22,Saturday
6.02E+78,medium,2.3,522,2021-05-22,Saturday
3.00E+78,hard,3.4,730,2021-05-22,Saturday
6.42E+80,easy,1.2,310,2021-09-02,Thursday
8.32E+79,medium,2.3,600,2021-09-02,Thursday
8.00E+76,hard,2.3,800,2021-09-02,Thursday
4.71E+80,easy,1.2,310,2022-11-27,Sunday
6.00E+80,medium,2.3,510,2022-11-27,Sunday
6.32E+78,hard,3,596,2022-11-27,Sunday
8.70E+78,easy,1.2,304,2022-03-20,Sunday
2.00E+77,medium,2.3,530,2022-03-20,Sunday
7.80E+79,hard,3.4,650,2022-03-20,Sunday
3.01E+79,easy,1.2,322,2023-09-07,Thursday
2.00E+80,medium,2.3,526,2023-09-07,Thursday
6.00E+80,hard,2.3,514,2023-09-07,Thursday
1.49E+80,easy,1.2,316,2020-12-13,Sunday
6.19E+80,medium,2.3,500,2020-12-13,Sunday
3.00E+80,hard,3.4,1284,2020-12-13,Sunday
2.05E+79,easy,1.2,316,2023-08-20,Sunday
4.00E+79,medium,2.3,576,2023-08-20,Sunday
6.41E+80,hard,3,660,2023-08-20,Sunday
1.01E+80,easy,1.2,310,2022-03-10,Thursday
6.03E+78,medium,3.4,726,2022-03-10,Thursday
5.00E+76,hard,2.3,532,2022-03-10,Thursday
2.05E+79,easy,1.2,316,2022-10-04,Tuesday
7.09E+79,medium,2.3,536,2022-10-04,Tuesday
1.89E+72,hard,3.4,804,2022-10-04,Tuesday
5.98E+78,easy,1.2,304,2022-11-04,Friday
2.07E+80,medium,2,546,2022-11-04,Friday
6.00E+80,hard,2.3,514,2022-11-04,Friday
4.56E+80,easy,1.2,304,2022-05-31,Tuesday
9.01E+80,medium,2.3,646,2022-05-31,Tuesday
2.00E+77,hard,2.3,560,2022-05-31,Tuesday
9.40E+79,easy,1.2,310,2022-01-07,Friday
2.01E+79,medium,2.3,612,2022-01-07,Friday
3.00E+80,hard,3.4,790,2022-01-07,Friday
4.85E+78,easy,1.2,304,2020-06-24,Wednesday
4.00E+78,medium,2,580,2020-06-24,Wednesday
1.70E+78,hard,2.3,700,2020-06-24,Wednesday
2.96E+80,easy,1.2,310,2023-01-17,Tuesday
1.00E+79,medium,2.3,812,2023-01-17,Tuesday
6.00E+77,hard,2.8,670,2023-01-17,Tuesday
7.30E+78,easy,1.2,304,2022-07-28,Thursday
9.00E+80,medium,2.3,596,2022-07-28,Thursday
3.95E+67,hard,2.3,584,2022-07-28,Thursday
1.05E+80,easy,1.2,310,2023-10-30,Monday
7.06E+77,medium,2.3,590,2023-10-30,Monday
2.30E+79,hard,2.3,564,2023-10-30,Monday
3.78E+79,easy,1.2,304,2021-01-03,Sunday
1.00E+77,medium,2.3,610,2021-01-03,Sunday
7.00E+77,hard,4,924,2021-01-03,Sunday
3.01E+77,easy,1.2,304,2021-03-26,Friday
3.51E+75,medium,2.3,536,2021-03-26,Friday
4.00E+80,hard,2,706,2021-03-26,Friday
9.40E+79,easy,1.2,310,2021-07-26,Monday
4.00E+75,medium,3.4,590,2021-07-26,Monday
1.00E+80,hard,2.3,546,2021-07-26,Monday
6.00E+80,easy,1.2,304,2021-05-21,Friday
7.00E+79,medium,3,690,2021-05-21,Friday
6.00E+75,hard,2.3,590,2021-05-21,Friday
3.74E+80,easy,1.2,304,2022-11-07,Monday
1.01E+76,medium,2.3,530,2022-11-07,Monday
1.20E+79,hard,3,594,2022-11-07,Monday
9.35E+80,easy,1.2,310,2021-06-23,Wednesday
5.04E+79,medium,2.3,514,2021-06-23,Wednesday
6.08E+78,hard,3.4,576,2021-06-23,Wednesday
2.69E+78,easy,1.2,310,2021-11-18,Thursday
2.00E+79,medium,3.4,724,2021-11-18,Thursday
3.00E+80,hard,3,696,2021-11-18,Thursday
8.23E+80,easy,1.2,304,2021-11-01,Monday
3.01E+80,medium,2.3,826,2021-11-01,Monday
2.80E+79,hard,3.4,656,2021-11-01,Monday
6.20E+79,easy,1.2,310,2023-07-20,Thursday
7.00E+80,medium,2.3,576,2023-07-20,Thursday
2.01E+78,hard,3.4,790,2023-07-20,Thursday
6.05E+79,easy,1.2,310,2021-05-17,Monday
4.00E+79,medium,2.3,520,2021-05-17,Monday
8.06E+77,hard,3,634,2021-05-17,Monday
8.30E+78,easy,1.2,310,2021-03-09,Tuesday
9.08E+74,medium,2.3,570,2021-03-09,Tuesday
8.00E+78,hard,3.4,652,2021-03-09,Tuesday
9.02E+80,easy,1.2,304,2023-03-26,Sunday
1.02E+79,medium,2.3,574,2023-03-26,Sunday
2.00E+80,hard,2.3,704,2023-03-26,Sunday
1.78E+80,easy,1.2,304,2021-02-03,Wednesday
3.50E+80,medium,2.3,510,2021-02-03,Wednesday
3.00E+79,hard,3,780,2021-02-03,Wednesday
1.64E+79,easy,1.2,310,2022-05-26,Thursday
2.01E+77,medium,2.3,646,2022-05-26,Thursday
7.40E+76,hard,2,514,2022-05-26,Thursday
2.08E+79,easy,1.2,316,2021-04-15,Thursday
1.06E+79,medium,2.3,714,2021-04-15,Thursday
4.00E+80,hard,2.8,838,2021-04-15,Thursday
4.06E+79,easy,1.2,304,2022-04-12,Tuesday
2.00E+80,medium,2.3,606,2022-04-12,Tuesday
4.01E+80,hard,2.3,580,2022-04-12,Tuesday
9.21E+79,easy,1.2,304,2023-10-02,Monday
8.00E+74,medium,2.3,536,2023-10-02,Monday
8.00E+80,hard,2.3,514,2023-10-02,Monday
7.01E+80,easy,1.2,316,2022-09-11,Sunday
9.00E+73,medium,2.3,540,2022-09-11,Sunday
4.61E+78,hard,2.3,856,2022-09-11,Sunday
1.88E+78,easy,1.2,310,2023-06-14,Wednesday
8.00E+78,medium,2,540,2023-06-14,Wednesday
4.00E+77,hard,3,750,2023-06-14,Wednesday
8.93E+78,easy,1.2,304,2023-05-25,Thursday
9.31E+80,medium,3,630,2023-05-25,Thursday
3.00E+79,hard,2.3,574,2023-05-25,Thursday
3.07E+80,easy,1.2,310,2023-04-17,Monday
2.01E+77,medium,2,566,2023-04-17,Monday
7.08E+79,hard,2.3,520,2023-04-17,Monday
8.02E+77,easy,1.2,304,2022-03-31,Thursday
5.00E+78,medium,2,510,2022-03-31,Thursday
5.60E+80,hard,3.4,874,2022-03-31,Thursday
8.32E+79,easy,1.2,310,2023-03-10,Friday
9.50E+79,medium,2.3,672,2023-03-10,Friday
3.89E+75,hard,3,880,2023-03-10,Friday
6.45E+79,easy,1.2,304,2021-07-13,Tuesday
7.90E+80,medium,2.3,580,2021-07-13,Tuesday
2.00E+76,hard,3.4,654,2021-07-13,Tuesday
7.54E+79,easy,1.2,316,2022-09-14,Wednesday
4.70E+76,medium,3.4,650,2022-09-14,Wednesday
7.00E+78,hard,3.4,814,2022-09-14,Wednesday
6.00E+79,easy,1.2,304,2021-12-15,Wednesday
1.00E+79,medium,3,606,2021-12-15,Wednesday
7.00E+79,hard,2,790,2021-12-15,Wednesday
7.01E+80,easy,1.2,316,2023-11-08,Wednesday
3.26E+80,medium,2.3,530,2023-11-08,Wednesday
1.00E+78,hard,2.3,682,2023-11-08,Wednesday
9.67E+80,easy,1.2,310,2020-12-25,Friday
1.01E+80,medium,2.3,514,2020-12-25,Friday
6.73E+78,hard,3.4,860,2020-12-25,Friday
7.06E+79,easy,1.2,310,2022-05-22,Sunday
1.00E+80,medium,2.3,612,2022-05-22,Sunday
4.01E+68,hard,2.3,504,2022-05-22,Sunday
5.28E+80,easy,1.2,304,2021-10-22,Friday
2.01E+79,medium,2.3,590,2021-10-22,Friday
3.05E+80,hard,3.4,676,2021-10-22,Friday
5.06E+80,easy,1.2,310,2021-03-28,Sunday
9.02E+80,medium,2.3,674,2021-03-28,Sunday
8.60E+77,hard,2.3,654,2021-03-28,Sunday
9.81E+80,easy,1.2,304,2023-03-06,Monday
8.00E+79,medium,2.3,516,2023-03-06,Monday
4.02E+77,hard,2.3,536,2023-03-06,Monday
8.04E+80,easy,1.2,310,2023-03-14,Tuesday
1.06E+72,medium,2.3,576,2023-03-14,Tuesday
4.00E+80,hard,2.8,814,2023-03-14,Tuesday
6.00E+80,easy,1.2,304,2021-05-23,Sunday
2.00E+77,medium,2.3,686,2021-05-23,Sunday
6.08E+72,hard,2.3,504,2021-05-23,Sunday
1.05E+80,easy,1.2,310,2021-05-29,Saturday
5.00E+80,medium,2.3,532,2021-05-29,Saturday
9.00E+80,hard,3.4,800,2021-05-29,Saturday
4.01E+80,easy,1.2,304,2021-01-23,Saturday
8.06E+79,medium,3.4,810,2021-01-23,Saturday
4.06E+80,hard,2.3,692,2021-01-23,Saturday
5.21E+80,easy,1.2,304,2023-02-05,Sunday
7.00E+80,medium,3.4,580,2023-02-05,Sunday
9.60E+79,hard,3.4,780,2023-02-05,Sunday
2.01E+80,easy,1.2,304,2023-10-04,Wednesday
5.00E+78,medium,3.4,716,2023-10-04,Wednesday
2.05E+75,hard,3.4,774,2023-10-04,Wednesday
1.81E+78,easy,1.2,310,2021-01-11,Monday
8.40E+80,medium,2,536,2021-01-11,Monday
7.03E+75,hard,3,986,2021-01-11,Monday
7.90E+80,easy,1.2,310,2023-01-03,Tuesday
1.01E+79,medium,3.4,596,2023-01-03,Tuesday
7.02E+80,hard,2,654,2023-01-03,Tuesday
8.43E+80,easy,1.2,304,2021-05-10,Monday
9.07E+77,medium,2.3,596,2021-05-10,Monday
4.00E+77,hard,2.3,730,2021-05-10,Monday
8.01E+80,easy,1.2,304,2021-01-19,Tuesday
9.00E+78,medium,3,614,2021-01-19,Tuesday
8.00E+76,hard,2.3,700,2021-01-19,Tuesday
5.00E+80,easy,1.2,310,2023-05-20,Saturday
7.10E+80,medium,3.4,640,2023-05-20,Saturday
6.51E+79,hard,2.3,896,2023-05-20,Saturday
2.01E+80,easy,1.2,304,2023-10-14,Saturday
5.00E+80,medium,2.3,730,2023-10-14,Saturday
9.70E+80,hard,2,516,2023-10-14,Saturday
3.96E+80,easy,1.2,304,2021-02-24,Wednesday
5.01E+79,medium,3.4,764,2021-02-24,Wednesday
5.08E+76,hard,2.3,556,2021-02-24,Wednesday
5.76E+79,easy,1.2,310,2021-02-02,Tuesday
7.40E+79,medium,3,940,2021-02-02,Tuesday
